Species,Self-interest (S),Erosion of Trust (T),Perceived Injustice (I),Power Dynamics (P),Fear of Loss (F),Opportunity (O),Clan Intermingling (C),Greed (G),Temptation (Te),Poor Respect (R),Emotional Submission (Es),Probability of Betrayal
Emotivor,0.034388521115218396,0.7607850486168974,0.49724850589238545,0.9004180571633305,0.9148643902204485,0.8226005606596583,0.17320186991001518,0.37201808579278317,0.3742707957561203,0.2773811829811327,0.22864280550346272,0.4324684236626606
Faerix,0.9093204020787821,0.5612771975694962,0.30087830981676966,0.6331014572732679,0.3701587002554444,0.3601906414112629,0.43385164923797304,0.7764129607419968,0.3706421470668909,0.1881211597237613,0.6717006844058567,0.3556352840314946
Sentire,0.2587799816000169,0.770967179954561,0.2848404943774676,0.3390297910487007,0.015456616528867428,0.12706051265188478,0.39850473439737344,0.34080354025301784,0.8127995672575026,0.46369840493998216,0.6181282404578958,0.2613861172857517
Nexoon,0.662522284353982,0.49379559636439074,0.036886947354532795,0.3492095746126609,0.9283185625877254,0.5222432600548044,0.6158500980522165,0.9307573256035647,0.9472485773838587,0.3533522280260528,0.3581627180328405,0.5169264478251933
Emotivor,0.31171107608941095,0.5227328293819941,0.6095643339798968,0.7259556788702394,0.42818414831731433,0.7699935530986108,0.6350936508676438,0.8584127518430118,0.9860010638228709,0.5836561118508721,0.11355759219962902,0.5867004952053367
Cybex,0.5200680211778108,0.42754101835854963,0.5026790232288615,0.8971102599525771,0.9666548190436696,0.21582102749684318,0.04530400977204452,0.42899402737501835,0.7533781852589416,0.07773463696498484,0.6715731955927996,0.363561607352668
Florian,0.5467102793432796,0.02541912674409519,0.05147875124998935,0.8870864242651173,0.9636199770892528,0.6228904758190003,0.3746126146264712,0.7508710677914974,0.37625958553091576,0.9743948076661665,0.5203077009037933,0.4669354309825596
Emotivor,0.18485445552552704,0.10789142699330445,0.27864646423661144,0.7798755458576239,0.8530094554673601,0.085347464993768,0.6258599157142364,0.7545428740846823,0.08350071669866876,0.9862107444796029,0.7723183917356393,0.3518220034270325
Sentire,0.9695846277645586,0.03142918568673425,0.9082658859666537,0.6420316461542878,0.2944488920695857,0.0516817211686077,0.5031362585800877,0.10312386883593261,0.7771469159274368,0.6981617140197451,0.5201635011119934,0.397251165022316
Nexoon,0.7751328233611146,0.6364104112637804,0.23956189066697242,0.08413996499504883,0.38509772860192526,0.531354631568148,0.8564898411883223,0.9025529066795667,0.558404249735805,0.5360963663441204,0.8521815003185401,0.4147237947980747
Faerix,0.9394989415641891,0.3143559810763267,0.1448948720912231,0.16162871409461377,0.8511366715168569,0.5406351216101065,0.658693631618945,0.5052523724478571,0.4242220092469763,0.30952761628632774,0.5519068387744855,0.3794276175653875
Sentire,0.8948273504276488,0.5085706911647028,0.489452760277563,0.8985541885270792,0.31692200515627766,0.6374299014982066,0.1629344270814297,0.8264574661077416,0.906354385094736,0.8137950197069487,0.5609379715353863,0.5468440795250908
Sentire,0.5978999788110851,0.907566473926093,0.9856504541106007,0.6064290596595899,0.1694927466860925,0.7260913337226615,0.07056874740042984,0.32004960103061175,0.11119748230615134,0.6847311725538793,0.876653602658345,0.39513743536317825
Florian,0.9218742350231168,0.24929222914887494,0.2420552715115004,0.009197051616629648,0.5568012624583502,0.9758520794625346,0.6424192782063156,0.8955232284962005,0.49262510429085915,0.1626169393448913,0.40348286621239704,0.4302251219530412
Mythron,0.0884925020519195,0.41038292303562973,0.6721355474058786,0.1014715428660321,0.936154774160781,0.5163003483011953,0.026511310541621813,0.3892016787341631,0.011353644767419069,0.9109271844938425,0.13401522845064073,0.360614706621623
Nexoon,0.1959828624191452,0.7555511385430487,0.7616196153287176,0.6635017691080558,0.696029796674973,0.32295647294124596,0.5857755812734633,0.01083765148029836,0.46866064199412627,0.822537242923169,0.028782676313338973,0.4600829903359334
Zorblax,0.045227288910538066,0.22879816549162246,0.23763754399239967,0.005061583846218687,0.570061170089365,0.7951861947687037,0.9402302414249576,0.9053819764192637,0.05630327568183735,0.949799913291924,0.755137255673619,0.3739214975521033
Sentire,0.32533033076326434,0.07697990982879299,0.7282163486118596,0.16080805141749865,0.09717649377076854,0.2708322512620742,0.575474177875879,0.09128667678613356,0.11881791626807192,0.72571950838836,0.6203095513534647,0.21127657743343767
Mythron,0.388677289689482,0.289751452913768,0.3677831327192532,0.5487337893665861,0.6150072266991697,0.4389714207056361,0.3881699262065219,0.31931363759041487,0.11752624677710488,0.6134151959357899,0.7040797680992236,0.2799412004628473
Zorblax,0.2713490317738959,0.16122128725400442,0.6323058305935795,0.6918951976926933,0.9900538501042633,0.07845638134226596,0.6432882184423532,0.9500619670508049,0.6492103021160636,0.4182430362906189,0.21296416150891073,0.45997132551157743
Nexoon,0.8287375091519293,0.9296976523425731,0.6335297107608947,0.6519612595026005,0.14008401523652403,0.02535074341545751,0.45825289049151663,0.9506071469375561,0.7460448792654233,0.9327284833540133,0.13637147558676976,0.551208330552996
Aquari,0.3567533266935893,0.808120379564417,0.5357746840747585,0.22426930946055978,0.5183296523637367,0.9626484146779251,0.5456167893159349,0.5734378881232861,0.5833687650971596,0.8660638895004084,0.014544665667881929,0.5294096025923725
Cybex,0.28093450968738076,0.6334037565104235,0.0902897700544083,0.7121792213475359,0.8773730719279554,0.8359801205122058,0.9414648087765252,0.6318372121697993,0.9621725484745419,0.04521867010618941,0.350587558806597,0.5336752089817537
Mythron,0.5426960831582485,0.8714605901877177,0.835302495589238,0.23724908749680007,0.7407686177542044,0.695974206093698,0.38610263780077425,0.44844552197831977,0.37487057952370406,0.026366974497252005,0.5899176868546331,0.40164422846636916
Quixnar,0.14092422497476265,0.8036720768991145,0.32078006497173583,0.3253996981592677,0.697015740995268,0.4089529444142699,0.9611905638239142,0.29321077169806453,0.28571208628186073,0.3764633668780496,0.3922440450997323,0.3579601854476658
Aquari,0.8021969807540397,0.18657005888603584,0.18651851039985423,0.7464914051180241,0.7024840839871093,0.17329432007084578,0.9053506419560637,0.32866454536991596,0.8685991281894603,0.8105533307818329,0.43747492202372906,0.48181420579104667
Cybex,0.07455064367977082,0.8925589984899778,0.040775141554763916,0.6496328990472147,0.35949115121975517,0.15643704267108605,0.19579113478929644,0.6725184560770384,0.22359583851945264,0.9872761293149445,0.9041586944937484,0.2908145476444638
Florian,0.9868869366005173,0.5393422419156507,0.5908929431882418,0.8492234104941779,0.29359184426449336,0.25024289816459533,0.06936130087516545,0.75237452943768,0.9632225394406113,0.15041689110352818,0.34825546702330035,0.46920937070657764
Emotivor,0.7722447692966574,0.8074401551640625,0.6775643618422824,0.6576128923003434,0.8093611554785136,0.5492266647061205,0.10077800137742665,0.7915790437258485,0.012154474689816341,0.5941307153521351,0.5139894891598108,0.4802466927754302
Faerix,0.1987156815341724,0.8960912999234932,0.016587828927856152,0.5683086033354716,0.8101133946791808,0.7145959227000623,0.018221825651549728,0.7896181427945539,0.969878826707639,0.3808908566310215,0.7836530127411431,0.4288508874362331
Quixnar,0.005522117123602399,0.3180034749718639,0.512093058299281,0.09367476782809248,0.8670723185801037,0.6601973767177313,0.0944429607559284,0.09120610304869037,0.04315991195057611,0.9699143978146032,0.39654278232127016,0.2882693007176793
Florian,0.8154614284548342,0.11005192452767676,0.22649577519793795,0.3677158030594335,0.9132405525564713,0.27993389694594284,0.6830067734163568,0.49442030470258147,0.8911431136980711,0.8421189231357087,0.6220867002278735,0.4496798400605352
Nexoon,0.7068573438476171,0.22793516254194168,0.6451727904094499,0.26520236768172545,0.5113423988609378,0.9548652806631941,0.07118864846022899,0.057558760016644284,0.5277011090862999,0.8383287047111379,0.8623637087467452,0.3270761276194577
Florian,0.7290071680409873,0.4271077886262563,0.17436642900499144,0.24398964337908358,0.5015162946871996,0.7378969166957685,0.3189756302937613,0.5495288823237355,0.9929647961193003,0.4686931597949703,0.9495206236576421,0.38591189007774857
Emotivor,0.7712703466859457,0.8180147659224931,0.690937738102466,0.9730105547524456,0.7982951789667752,0.5543540525114007,0.8448753109694546,0.441530501373377,0.07379656473539886,0.4148195023376652,0.14707348092903794,0.5925676608398633
Nexoon,0.07404465173409036,0.8607305832563434,0.3867353463005374,0.3930977246667604,0.6499639307777652,0.6117207462343522,0.023271935735825866,0.8877041827582998,0.5538542844013208,0.27340707193070624,0.9265876251614944,0.30651000948319684
Quixnar,0.3584657285442726,0.006952130531190703,0.9367299887367345,0.8920465551771133,0.7019668772577033,0.4196000624277899,0.8144684825889358,0.3509150125520787,0.969302535619099,0.056375496650927115,0.4921162930795382,0.4829385031433052
Emotivor,0.11586905952512971,0.5107473025775657,0.13752094414599325,0.6311386259972629,0.795792669436101,0.24773098950115746,0.28185477477339993,0.11706701642760586,0.5230978441701488,0.8647223762550532,0.25824438829895835,0.3366419130077031
Zorblax,0.8631034258755935,0.417411003148779,0.3410663510502585,0.7948113035416484,0.8900053418175663,0.3559726786512616,0.11816482762165625,0.14299168205283586,0.6293986381352625,0.8129010091300776,0.4591357562382613,0.4285608121802345
Faerix,0.6232981268275579,0.22210781047073025,0.11347352124058907,0.5026370931051921,0.3379951568515358,0.7578461104643691,0.6967371653641506,0.7615106317174722,0.6957486889846172,0.9997176732861306,0.980032575285477,0.41687666253082584
